Block Name,Block Number,Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,9495,-9.53416,-91.7901,1.61082,92.298,397204716,18593,92.298,63,1,397204716,1
dataset_1,1,10353,-22.7429,-91.3526,11.5591,94.848,397206168,19398,94.848,63,7,397206168,7
dataset_1,1,10558,-25.8416,-90.9587,25.3368,97.894,397206463,19586,97.894,63,15,397206463,15
dataset_1,1,10437,-23.6501,-89.7657,11.398,93.526,397206610,19476,93.526,63,7,397206610,7
dataset_1,1,10388,-22.8129,-89.5639,24.7648,95.684,397206352,19429,95.684,63,15,397206352,15
dataset_1,1,10602,-25.9369,-88.9854,24.8358,95.958,397206684,19625,95.958,63,15,397206684,15
dataset_1,1,8631,5.0467,-88.8753,1.55382,89.032,397201841,17675,89.032,63,1,397201841,1
dataset_1,1,10416,-23.0826,-88.8697,11.2739,92.508,397206500,19456,92.508,63,7,397206500,7
dataset_1,1,13142,-59.8229,-86.5566,1.83659,105.234,397210910,21465,105.234,63,1,397210910,1
dataset_1,1,13112,-59.3466,-86.4791,1.83076,104.9,397210799,21446,104.9,63,1,397210799,1
dataset_1,1,13085,-58.8658,-86.3912,1.82475,104.556,397210689,21427,104.556,63,1,397210689,1
dataset_1,1,13058,-58.3494,-86.3115,1.81854,104.2,397211352,21406,104.2,63,1,397211352,1
dataset_1,1,13029,-57.8523,-86.1907,1.81194,103.822,397211242,21387,103.822,63,1,397211242,1
dataset_1,1,12999,-57.3803,-86.1358,1.80657,103.514,397211131,21367,103.514,63,1,397211131,1
dataset_1,1,12969,-56.8969,-86.0271,1.80032,103.156,397211020,21348,103.156,63,1,397211020,1
dataset_1,1,12941,-56.4328,-85.9761,1.79512,102.858,397210910,21328,102.858,63,1,397210910,1
dataset_1,1,12913,-55.9716,-85.893,1.7895,102.536,397210799,21309,102.536,63,1,397210799,1
dataset_1,1,12883,-55.4923,-85.8108,1.78374,102.206,397210689,21289,102.206,63,1,397210689,1
dataset_1,1,12853,-55.0324,-85.7217,1.77809,101.882,397210578,21270,101.882,63,1,397210578,1
dataset_1,1,10727,-26.9461,-85.6705,1.56761,89.822,397207371,19746,89.822,63,1,397207371,1
dataset_1,1,12824,-54.5855,-85.6491,1.77282,101.58,397210467,21251,101.58,63,1,397210467,1
dataset_1,1,12793,-54.1141,-85.567,1.7672,101.258,397210357,21231,101.258,63,1,397210357,1
dataset_1,1,12762,-53.6589,-85.5064,1.76206,100.964,397210246,21211,100.964,63,1,397210246,1
dataset_1,1,12732,-53.2059,-85.4123,1.75648,100.644,397210136,21192,100.644,63,1,397210136,1
dataset_1,1,12701,-52.7339,-85.3169,1.75072,100.314,397210799,21172,100.314,63,1,397210799,1
dataset_1,1,12671,-52.3001,-85.2458,1.74569,100.026,397210689,21153,100.026,63,1,397210689,1
dataset_1,1,12641,-51.8452,-85.1699,1.74042,99.724,397210578,21133,99.724,63,1,397210578,1
dataset_1,1,12609,-51.4101,-85.1227,1.73578,99.458,397210467,21113,99.458,63,1,397210467,1
dataset_1,1,12580,-50.9733,-85.0355,1.73055,99.158,397210357,21094,99.158,63,1,397210357,1
dataset_1,1,12550,-50.5357,-84.9428,1.72524,98.854,397210246,21075,98.854,63,1,397210246,1
dataset_1,1,10745,-26.9477,-84.6423,1.55051,88.842,397207481,19766,88.842,63,1,397207481,1
dataset_1,1,12121,-44.2696,-83.8937,1.65574,94.872,397209361,20782,94.872,63,1,397209361,1
dataset_1,1,12092,-43.8458,-83.7979,1.65082,94.59,397209251,20762,94.59,63,1,397209251,1
dataset_1,1,12065,-43.4663,-83.7476,1.64698,94.37,397209140,20743,94.37,63,1,397209140,1
dataset_1,1,8609,5.03399,-83.7441,1.4644,83.908,397202504,17656,83.908,63,1,397202504,1
dataset_1,1,8611,5.01636,-83.6947,4.39413,83.96,397202509,17657,83.96,63,3,397202509,3
dataset_1,1,12039,-43.0657,-83.689,1.64286,94.134,397209030,20723,94.134,63,1,397209030,1
dataset_1,1,13140,-57.7316,-83.6555,27.235,105.228,397210887,21461,105.228,63,15,397210887,15
dataset_1,1,10765,-26.9328,-83.635,1.53368,87.878,397206818,19785,87.878,63,1,397206818,1
dataset_1,1,12013,-42.6688,-83.634,1.63885,93.904,397209693,20703,93.904,63,1,397209693,1
dataset_1,1,13110,-57.2857,-83.6011,27.1553,104.92,397210776,21442,104.92,63,15,397210776,15
dataset_1,1,13083,-56.8539,-83.5638,27.0818,104.636,397210666,21423,104.636,63,15,397210666,15
dataset_1,1,8615,4.97885,-83.5572,10.2777,84.334,397202518,17659,84.334,63,7,397202518,7
dataset_1,1,11989,-42.2548,-83.5415,1.63414,93.634,397209583,20683,93.634,63,1,397209583,1
